ImageId,Label
1,4
2,6
3,8
4,2
5,8
6,5
7,9
8,5
9,9
10,2
11,3
12,4
13,8
14,2
15,2
16,1
17,4
18,9
19,7
20,1
21,1
22,8
23,7
24,3
25,8
26,3
27,7
28,6
29,4
30,7
31,6
32,6
33,4
34,2
35,5
36,7
37,4
38,6
39,1
40,5
41,4
42,6
43,2
44,6
45,6
46,2
47,4
48,4
49,1
50,1
51,6
52,2
53,5
54,1
55,9
56,6
57,2
58,5
59,7
60,3
61,1
62,2
63,9
64,0
65,9
66,5
67,4
68,3
69,2
70,1
71,2
72,3
73,8
74,2
75,2
76,5
77,7
78,1
79,6
80,2
81,6
82,7
83,1
84,9
85,6
86,7
87,8
88,9
89,1
90,1
91,3
92,1
93,6
94,0
95,2
96,3
97,3
98,7
99,0
100,3
101,6
102,8
103,5
104,2
105,0
106,9
107,5
108,9
109,5
110,9
111,3
112,1
113,7
114,6
115,0
116,6
117,0
118,7
119,7
120,6
121,6
122,4
123,8
124,7
125,8
126,6
127,8
128,1
129,4
130,8
131,6
132,1
133,7
134,0
135,8
136,3
137,6
138,7
139,1
140,9
141,2
142,2
143,3
144,7
145,1
146,5
147,2
148,5
149,5
150,1
151,7
152,5
153,5
154,8
155,8
156,6
157,3
158,7
159,9
160,4
161,7
162,3
163,1
164,3
165,1
166,2
167,2
168,5
169,1
170,7
171,9
172,4
173,6
174,1
175,1
176,3
177,2
178,8
179,3
180,1
181,6
182,7
183,9
184,2
185,5
186,9
187,2
188,7
189,6
190,0
191,9
192,3
193,6
194,8
195,9
196,4
197,8
198,9
199,0
200,9
201,8
202,1
203,4
204,1
205,8
206,6
207,9
208,4
209,0
210,8
211,7
212,5
213,8
214,1
215,2
216,1
217,9
218,2
219,1
220,2
221,0
222,4
223,5
224,4
225,8
226,4
227,9
228,1
229,1
230,1
231,1
232,6
233,8
234,6
235,2
236,6
237,8
238,9
239,7
240,9
241,8
242,4
243,2
244,9
245,1
246,4
247,7
248,1
249,1
250,5
